texto,categoria
quiero renovar mi licencia de conducción que vence este mes,renovacion
necesito renovar el pasaporte antes de viajar,renovacion
cómo hago la renovación del registro mercantil,renovacion
se me venció el permiso y lo quiero renovar,renovacion
renovación de la matrícula del vehículo,renovacion
quiero actualizar y renovar mi tarjeta de propiedad,renovacion
el documento está vencido y necesito uno nuevo,renovacion
solicito la renovación anual de la licencia de funcionamiento,renovacion
mi cédula de extranjería vence y debo renovarla,renovacion
renovar el certificado de manipulación de alimentos que ya expiró,renovacion
necesito extender la vigencia de mi permiso,renovacion
cuándo vence mi licencia y cómo la renuevo,renovacion
necesito un certificado de tradición y libertad,certificado
solicito constancia de residencia para un trámite bancario,certificado
cómo descargo el certificado de paz y salvo,certificado
requiero una certificación laboral de la entidad,certificado
quiero el certificado de estratificación de mi casa,certificado
expedición de constancia de no deuda,certificado
necesito un documento que certifique mi afiliación,certificado
pido copia autenticada del acta,certificado
certificado de existencia y representación legal,certificado
necesito una constancia para presentar en la universidad,certificado
me piden un certificado de antecedentes,certificado
generar certificado de uso del suelo del predio,certificado
cómo pago el impuesto predial en línea,pago
quiero pagar la multa de tránsito,pago
me cobraron dos veces el recibo,pago
no aparece reflejado el pago que hice ayer,pago
puedo pagar con tarjeta de crédito el trámite,pago
necesito la factura del pago realizado,pago
dónde consigo el recibo para pagar la tasa,pago
quiero hacer un acuerdo de pago por cuotas,pago
el botón de pagar por PSE no funciona,pago
cuál es el valor a pagar por el servicio,pago
devolución de un dinero pagado de más,pago
liquidación del impuesto vehicular para pagar,pago
llevo tres semanas esperando respuesta y nadie me atiende,queja
el funcionario me trató de mala manera,queja
estoy inconforme con el servicio recibido,queja
presento una queja porque perdieron mis documentos,queja
la página se cae todo el tiempo y es un desastre,queja
nadie contesta el teléfono de atención,queja
quiero poner un reclamo formal,queja
me cerraron la ventanilla antes de la hora,queja
es inaceptable la demora en el trámite,queja
denuncio mala atención en la sede norte,queja
me hicieron ir tres veces por el mismo papel,queja
exijo una respuesta a mi petición anterior,queja
