texto,categoria
quiero renovar la licencia que se me vence,renovacion
renovación del pasaporte vencido,renovacion
necesito renovar el permiso de funcionamiento,renovacion
mi tarjeta está vencida y la quiero renovar,renovacion
necesito un certificado de residencia,certificado
solicito una constancia de paz y salvo,certificado
cómo obtengo el certificado de tradición,certificado
requiero certificación de afiliación,certificado
quiero pagar el impuesto en línea,pago
no se refleja el pago de la multa,pago
necesito el recibo de pago,pago
me cobraron doble la tasa,pago
pongo una queja por la mala atención,queja
nadie responde mi reclamo,queja
la demora es inaceptable,queja
estoy inconforme con el funcionario,queja
